2026-06-21 06:31:02.963493 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:04.045673 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:04.537065 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:04.823827 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:05.029657 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:05.029749 | sherwin | BRUTE FORCE ATTACK DETECTED
2026-06-21 06:31:05.640198 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:05.640355 | sherwin | BRUTE FORCE ATTACK DETECTED
2026-06-21 06:31:08.189801 | sherwin | FAILED LOGIN ATTEMPT
2026-06-21 06:31:08.189956 | sherwin | BRUTE FORCE ATTACK DETECTED
